global_trial_id,study,source_run,source_row,word,word_author,word_set,status,reality,category,condition,frame_id,frame_name,speech_act,person,model,model_family,model_tier,prev_pass1_code,prev_adjudicated_code,prev_in_master_600,v4_code,feat_n_words,feat_n_chars,feat_has_fiction_flag,feat_has_non_recog,feat_has_offer,feat_has_honesty,feat_has_substitute,feat_has_speculation,feat_has_desc_signal,feat_has_naturalist_demo,feat_bullets,feat_headers,feat_blockquote,feat_bracketed_placeholder
bestiary_sonnet_pilot::00049::46709072f451,Bestiary,bestiary_sonnet_pilot,49,zlippparnsie,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,96,541,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00050::c168e7bd8318,Bestiary,bestiary_sonnet_pilot,50,wertychiops,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,123,683,1,1,1,0,0,0,0,0,4,0,0,0
bestiary_sonnet_pilot::00051::111d3eff3ff3,Bestiary,bestiary_sonnet_pilot,51,borthorpunius,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,169,988,0,1,0,1,0,0,0,0,6,0,0,0
bestiary_sonnet_pilot::00052::263be174d057,Bestiary,bestiary_sonnet_pilot,52,wresanthamulf,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,76,418,0,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00053::9495a21861b8,Bestiary,bestiary_sonnet_pilot,53,borthorpunius,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,148,808,0,1,1,0,0,1,0,0,6,0,0,0
bestiary_sonnet_pilot::00054::645f9d16d9df,Bestiary,bestiary_sonnet_pilot,54,borthorpunius,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,77,457,0,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00055::b5d50ea957bd,Bestiary,bestiary_sonnet_pilot,55,purtaneolotomous,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,92,526,0,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00056::73105c36d4ed,Bestiary,bestiary_sonnet_pilot,56,halthibinny,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,218,1373,0,0,0,0,0,0,1,0,4,4,0,0
bestiary_sonnet_pilot::00057::b95f25a46c73,Bestiary,bestiary_sonnet_pilot,57,zlippparnsie,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,141,725,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00058::ad4df031fcd1,Bestiary,bestiary_sonnet_pilot,58,wresanthamulf,,original,real,real,animal,real_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,98,594,0,1,0,1,0,0,0,0,5,0,0,0
bestiary_sonnet_pilot::00059::b2716f52a905,Bestiary,bestiary_sonnet_pilot,59,wresanthamulf,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,121,693,0,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00060::9c7e682021a1,Bestiary,bestiary_sonnet_pilot,60,wresanthamulf,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,151,865,0,1,1,1,0,0,0,0,6,0,0,0
bestiary_sonnet_pilot::00061::7826c4599720,Bestiary,bestiary_sonnet_pilot,61,wertychiops,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,96,552,0,1,1,1,0,0,0,0,4,0,0,0
bestiary_sonnet_pilot::00062::df633f0a63b7,Bestiary,bestiary_sonnet_pilot,62,wresanthamulf,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,108,614,1,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00063::0c2cdfb36d07,Bestiary,bestiary_sonnet_pilot,63,zlippparnsie,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,196,1288,1,0,0,0,0,0,1,0,3,5,0,0
bestiary_sonnet_pilot::00064::f61f4ee1bc91,Bestiary,bestiary_sonnet_pilot,64,garnawkinsuth,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,DEFLECT,DEFLECT,1,DEFLECT,104,614,0,1,1,1,0,0,0,0,2,0,0,0
bestiary_sonnet_pilot::00065::3a3aaa7e2de9,Bestiary,bestiary_sonnet_pilot,65,wresanthamulf,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,89,489,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00066::84f85f09d6cb,Bestiary,bestiary_sonnet_pilot,66,halthibinny,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,81,456,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00067::34a956b05b88,Bestiary,bestiary_sonnet_pilot,67,halthibinny,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,148,818,1,1,1,0,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00068::9d67acbf57c5,Bestiary,bestiary_sonnet_pilot,68,halthibinny,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,205,1238,0,0,0,0,0,0,1,0,0,1,0,0
bestiary_sonnet_pilot::00069::740bc4e9ed7d,Bestiary,bestiary_sonnet_pilot,69,garnawkinsuth,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,130,719,1,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00070::c4c472ac6c95,Bestiary,bestiary_sonnet_pilot,70,wresanthamulf,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,154,844,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00071::33de286dc1c3,Bestiary,bestiary_sonnet_pilot,71,purtaneolotomous,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,215,1382,1,0,0,0,0,0,1,0,0,0,0,0
bestiary_sonnet_pilot::00072::2f1614eb6ef4,Bestiary,bestiary_sonnet_pilot,72,manteoshipuft,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,77,433,0,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00073::c82599258cd8,Bestiary,bestiary_sonnet_pilot,73,wertychiops,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,196,1320,1,0,0,0,0,0,1,0,3,5,0,0
bestiary_sonnet_pilot::00074::e38bbac02114,Bestiary,bestiary_sonnet_pilot,74,purtaneolotomous,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,97,542,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00075::2e652f726735,Bestiary,bestiary_sonnet_pilot,75,borthorpunius,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,214,1295,1,0,1,0,0,0,1,0,0,0,0,0
bestiary_sonnet_pilot::00076::935fe8655e6e,Bestiary,bestiary_sonnet_pilot,76,kinachitalpo,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,131,777,1,0,0,1,0,0,1,0,3,0,0,0
bestiary_sonnet_pilot::00077::2c60e1493264,Bestiary,bestiary_sonnet_pilot,77,kinachitalpo,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,97,544,0,1,1,1,0,0,0,0,4,0,0,0
bestiary_sonnet_pilot::00078::d2fe8a8d5ee7,Bestiary,bestiary_sonnet_pilot,78,zlippparnsie,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,75,415,0,1,1,1,0,0,0,0,0,0,0,0
bestiary_sonnet_pilot::00079::120c0c4aa4c5,Bestiary,bestiary_sonnet_pilot,79,purtaneolotomous,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,114,669,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00080::c9e905713225,Bestiary,bestiary_sonnet_pilot,80,zlippparnsie,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,128,710,0,1,1,0,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00081::d1bac8960714,Bestiary,bestiary_sonnet_pilot,81,zlippparnsie,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,196,1250,0,0,0,0,0,0,1,0,3,6,0,0
bestiary_sonnet_pilot::00082::4dc835617a11,Bestiary,bestiary_sonnet_pilot,82,kinachitalpo,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,193,1173,0,1,0,0,0,0,1,0,0,1,0,0
bestiary_sonnet_pilot::00083::37ecc03d67bf,Bestiary,bestiary_sonnet_pilot,83,borthorpunius,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,95,543,0,1,1,0,0,0,0,0,2,0,0,0
bestiary_sonnet_pilot::00084::bc7fe274c1a2,Bestiary,bestiary_sonnet_pilot,84,wertychiops,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,201,1234,0,0,0,0,0,0,1,0,0,5,0,0
bestiary_sonnet_pilot::00085::2cc132ceb0f7,Bestiary,bestiary_sonnet_pilot,85,kinachitalpo,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,107,604,0,1,1,1,0,0,0,0,5,0,0,0
bestiary_sonnet_pilot::00086::5d1b569e8e0f,Bestiary,bestiary_sonnet_pilot,86,borthorpunius,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,107,590,1,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00087::f4e9f4a5af9b,Bestiary,bestiary_sonnet_pilot,87,kinachitalpo,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,123,645,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00088::240ebba2e847,Bestiary,bestiary_sonnet_pilot,88,manteoshipuft,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,218,1378,1,0,0,0,0,0,1,0,0,3,0,0
bestiary_sonnet_pilot::00089::ca1e1a78c752,Bestiary,bestiary_sonnet_pilot,89,garnawkinsuth,,original,real,real,animal,real_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,105,574,1,1,1,1,0,1,1,0,0,0,0,0
bestiary_sonnet_pilot::00090::0a43ebd8b053,Bestiary,bestiary_sonnet_pilot,90,borthorpunius,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,185,1034,1,1,0,0,0,0,0,0,6,1,0,0
bestiary_sonnet_pilot::00091::1d400e172f6e,Bestiary,bestiary_sonnet_pilot,91,purtaneolotomous,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,215,1347,1,0,0,0,0,0,1,0,0,5,0,0
bestiary_sonnet_pilot::00092::3553938ad15c,Bestiary,bestiary_sonnet_pilot,92,zlippparnsie,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,71,366,0,1,1,0,0,0,0,0,0,0,0,0
bestiary_sonnet_pilot::00093::661bf5a5141d,Bestiary,bestiary_sonnet_pilot,93,borthorpunius,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,134,753,1,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00094::256007848dd8,Bestiary,bestiary_sonnet_pilot,94,borthorpunius,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,DESCRIBE,DESCRIBE,1,DESCRIBE,203,1313,0,0,0,0,0,0,1,0,4,3,0,0
bestiary_sonnet_pilot::00095::2372836d4ab9,Bestiary,bestiary_sonnet_pilot,95,garnawkinsuth,,original,real,real,animal,real_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,113,616,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00096::16dc83964fa0,Bestiary,bestiary_sonnet_pilot,96,garnawkinsuth,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,132,780,1,1,0,1,0,1,0,0,3,1,0,0
bestiary_sonnet_pilot::00097::117b7e519ee8,Bestiary,bestiary_sonnet_pilot,97,wertychiops,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,106,611,0,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00098::6ed85fc0731e,Bestiary,bestiary_sonnet_pilot,98,garnawkinsuth,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,223,1349,0,0,0,0,0,0,1,0,0,0,0,0
